,link,title
2924,http://pittsburghpa.gov/publicsafety/blotterview/2924,Police Investigate Fatal Overnight Shooting in Homewood North - 08.10.2024
2922,http://pittsburghpa.gov/publicsafety/blotterview/2922,"Pittsburgh Police, Fire, and EMS Respond to Vehicle Collision on McKees Rocks Bridge - 08.09.2024"
2923,http://pittsburghpa.gov/publicsafety/blotterview/2923,"Police, Fire, and EMS Respond to a Vehicle vs. Motorcycle Collision in Hays - 08.09.2024"
2920,http://pittsburghpa.gov/publicsafety/blotterview/2920,Pittsburgh Police Serve Search Warrants for Encampment Policy Violations Downtown - 08.08.2024
2921,http://pittsburghpa.gov/publicsafety/blotterview/2921,Pittsburgh Police Investigate Shots Fired Incident in Carrick - 08.08.2024
2919,http://pittsburghpa.gov/publicsafety/blotterview/2919,UPDATE: Police Investigate Brighton Heights Shooting Incident - 08.07.2024
2917,http://pittsburghpa.gov/publicsafety/blotterview/2917,Police Investigate Shooting Incident in Knoxville  - 08.06.2024
2918,http://pittsburghpa.gov/publicsafety/blotterview/2918,UPDATE 2: Special Victims Unit Detectives Searching for Missing Girl - 08.06.2024
2916,http://pittsburghpa.gov/publicsafety/blotterview/2916,"Downtown High-Visibility Patrol Stats - July 29 to August 4, 2024 - 08.05.2024"
2915,http://pittsburghpa.gov/publicsafety/blotterview/2915,"Pittsburgh Police Investigate Stabbing Incident, One Injured - 08.03.2024"
2914,http://pittsburghpa.gov/publicsafety/blotterview/2914,Pittsburgh Police Investigate Thefts from Vehicles Involving Air Bags  - 08.01.2024
2913,http://pittsburghpa.gov/publicsafety/blotterview/2913,UPDATE: Special Victims Unit Detectives Ask for Public's Help to Find Missing Woman - 08.01.2024
2912,http://pittsburghpa.gov/publicsafety/blotterview/2912,Pittsburgh Police Investigate Shots Fired Call at Station Square - 07.30.2024
2911,http://pittsburghpa.gov/publicsafety/blotterview/2911,"Downtown High-Visibility Patrol  Numbers for July 22-28, 2024 - 07.29.2024"
2909,http://pittsburghpa.gov/publicsafety/blotterview/2909,"Police Respond to ShotSpotter Alert in Sheraden, One Injured - 07.28.2024"
2907,http://pittsburghpa.gov/publicsafety/blotterview/2907,Pittsburgh Police Investigate Vehicle /  Pedestrian Collision in Bloomfield - 07.28.2024
2910,http://pittsburghpa.gov/publicsafety/blotterview/2910,Pittsburgh Police Seek the Public's Help to Find Missing Girl - 07.28.2024
2908,http://pittsburghpa.gov/publicsafety/blotterview/2908,UPDATE: Pittsburgh Police Seek the Public's Help to Find Missing Boy - 07.28.2024
2906,http://pittsburghpa.gov/publicsafety/blotterview/2906,UPDATE: Pittsburgh Police Search for Two Missing Boys in Beechview - 07.26.2024
2905,http://pittsburghpa.gov/publicsafety/blotterview/2905,"UPDATE: Police, Fire, EMS Called to Shooting Incident in Sheraden - 07.25.2024"
2903,http://pittsburghpa.gov/publicsafety/blotterview/2903,Police Arrest Two Juveniles Following Business Burglar Alarm Call in East Liberty - 07.24.2024
2904,http://pittsburghpa.gov/publicsafety/blotterview/2904,Police Investigate Fatal Shooting in Knoxville - 07.24.2024
2902,http://pittsburghpa.gov/publicsafety/blotterview/2902,Pittsburgh Police Investigate Multiple Vehicles Reported Stolen Overnight - 07.23.2024
2899,http://pittsburghpa.gov/publicsafety/blotterview/2899,UPDATE: Pittsburgh Police Investigate Overnight Shooting Incident in Lawrenceville - 07.22.2024
2901,http://pittsburghpa.gov/publicsafety/blotterview/2901,"South Side Entertainment Patrol Arrest and Citations for July 17-21, 2024 - 07.22.2024"
2900,http://pittsburghpa.gov/publicsafety/blotterview/2900,"Pittsburgh Police Downtown High-Visibility Patrol Arrests and Citations for July 15-21, 2024 - 07.22.2024"
2898,http://pittsburghpa.gov/publicsafety/blotterview/2898,Pittsburgh Fire Responds to 2-Alarm Fire in Carrick - 07.21.2024
2897,http://pittsburghpa.gov/publicsafety/blotterview/2897,Thefts of Unattended Property Reported at the Close of Picklesburgh - 07.21.2024
2895,http://pittsburghpa.gov/publicsafety/blotterview/2895,Police Investigate Reported Hit and Run of Cyclist Downtown - 07.20.2024
2894,http://pittsburghpa.gov/publicsafety/blotterview/2894,Special Victims Unit Detectives Seek Assistance to Find Missing Juvenile - 07.20.2024
2896,http://pittsburghpa.gov/publicsafety/blotterview/2896,Police Investigate After Pedestrian Struck by Vehicle Downtown. - 07.20.2024
2893,http://pittsburghpa.gov/publicsafety/blotterview/2893,Police Investigate Overnight Shooting in Carrick - 07.20.2024
2891,http://pittsburghpa.gov/publicsafety/blotterview/2891,Pittsburgh Police Investigate Pedestrian Collision Involving Public Works Vehicle - 07.19.2024
2892,http://pittsburghpa.gov/publicsafety/blotterview/2892,"Police, Fire, EMS Respond to Fatal Motorcycle Crash on Route 51 - 07.19.2024"
2890,http://pittsburghpa.gov/publicsafety/blotterview/2890,"Police, Fire, EMS, Respond to Vehicle Rollover on Banksville Road and Carnahan - 07.18.2024"
2889,http://pittsburghpa.gov/publicsafety/blotterview/2889,Police Make Two Additional Arrests in Arlington Heights Homicide - 07.17.2024
